제목,장소,주소,기간,이미지url,상세url,세부장르,후기유무,줄거리,작품설명
버디버디,해당공연 공연장,주소:,2023/03/02 ~ 2023/12/31,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188410_01.132.gif,후기탭 없음,뮤지컬,X,"만년왕따 고동만은 행복 고등학교로 전학 간 첫날 우연히 댄스동아리 ‘버디’에 들어가게 되고 그곳에서 최강호와 나태희를 만난다. 춤에 재능이 있다는 말을 들은 고동만은 처음으로 뿌듯함과 기쁨을 느끼지만 일진 나태희의 괴롭힘 때문에 다시 자신감을 잃어가던 그떄 구미오를 만나게 된다.
자신의 눈에만 보이는 유령 친구 구미오의 위로와 응원 덕분에 조금씩 자존감을 찾아가는 고동만에게 축제의 엔딩 무대에 설 수 있는 기회가 생기고 고동만은 그 무대를 통해 학교의 인기스타로 거듭나게 되는데 갑자기 구미오가 보이지 않는다.
전세가 역전된 고동만과 나태희는 다시 친구가 될 수 있을 것인가 
그리고 사라진 구미오는 과연 어디로 갔을까?","10대 아이들 사이에서 빈번하게 일어나는 학교폭력, 사이버 폭력, 음주, 흡연 등 심각한 문제를 비중 있게 다루면서 유령이라는 판타지 요소를 사용해 학생들의 흥미를 유도하고 있습니다. 
신나는 자작곡, 경력 있는 배우들의 실감 나는 연기로 재미와 즐거움 보상!
수준 높은 뮤지컬 넘버, 안무, 관객 참여로 기존 공연들에 만연했던 낮은 완성도와 비교되는 격조 높은 뮤지컬을 만끽할 기회입니다.
창작 뮤지컬<버디버디>는 이제까지 접해왔던 학생 대상 공연의 한계를 뛰어넘는 웰메이드 하이틴 뮤지컬로 수많은 학교에서 호평과 러브콜을 받고 있습니다."
스페셜,해당공연 공연장,주소:,2023/03/02 ~ 2023/12/31,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188412_01.909.gif,후기탭 없음,뮤지컬,X,"""매력있고 꾸밈이 없는 밝고 따뜻한 아이들의 이야기""
시골 한적한 작은 학교에 싸움으로 인해 현태가 강제 전학을 오게 된다.
그곳에서 영석이라는 친구와 한나라는 친구 그리고 선생님을 만나게 된다.
이 곳 학급은 소규모의 학생으로 이루어져 있다.
수학여행을 간다는 얘기를 듣고 회비를 걷는 날, 영석의 회비가 사라졌다.
현태가 가져가는 걸 본 영석은 선생님한테 말하지 않는데…","하이틴 뮤지컬<스페셜>은 
평범하지 않은 독특하고 개성 넘치는 친구들이 서로 다른 모습을 이해하며, 진정한 친구로 거듭나가는 코믹 성장 뮤지컬입니다.
교실이라는 작은 공간 안에서 여러 개성이 부딪히며 갈등을 겪지만, 그 갈등을 통해서 서로를 이해하게 되는 이야기를 담아보았습니다.
어려움 앞에서 ‘혼자’보다는 ‘함께’를 선택할 수 있음을 알려주는 교훈적인 작품입니다."
헬로 고스트,해당공연 공연장,주소:,2023/03/02 ~ 2023/12/31,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188415_01.955.gif,후기탭 없음,뮤지컬,X,"한적한 어느 학교 소희라는 학생의 전학 소식 낯선 학생의 출연으로 학교의 아이들은
그를 경계하는 눈초리다. 하지만 소희는 이상하게도 왕따를 자처하며 학교생활을 이어간다. 모두가 소희를 괴롭히고 경계하지만, 일우라는 잘생긴 남학생은 소희의 둘도 없는 친구가 되어 준다. 
소희를 괴롭히는 학생들에게 왕따 신분의 소희는 술. 담배. 행동들에 대해 지적을 하면서 그들의 요구를 들어주는 알 수 없는 행동을 하며 소희의 유일한 친구 일우의 신비스러운 행동들. 모든 것이 의문점투성이다. 
왕따를 자처한 이상한 전학생 그리고 그를 위하는 한 남자 
그들의 좌충우돌 스토리","등장인물들의 학교생활을 통해 친구와 있을 때와 적대적인 아이들과 있을 때 편안함과 불안함 정반대의 두 감정을 함께 느끼며 몰입하도록 했습니다. 
왕따라는 다소 무거운 주제에 정면으로 맞서는 주인공의 모습에서 그동안 외면하고 방치해왔던 문제와 언젠가 마주하게 된다는 것을 알게됩니다. 
돌이킬 수 없는 일로 발목을 잡히는 일이 없도록... 
잘못된 길의 끝은 어디일지 그 결말에 대해 반전으로 풀어가는 이야기입니다."
조선셰프 한상궁 - 전주,전주한벽문화관 마당창극 야외공연장,전북 전주시 완산구 교동 7-1,2023/06/09 ~ 2023/10/27,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188666_01.945.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23007148,창작,X,줄거리 없음,작품설명 없음
트레드밀,대학로 드림아트센터 4관,서울 종로구 동숭동 1-42,2023/07/02 ~ 2023/09/17,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189330_01.334.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008025,뮤지컬,O,줄거리 없음,작품설명 없음
더퍼포머 키즈 매직쇼 - 청주,더퍼포머 씨어터,경기도 화성시 동탄대로 537(오산동) 라스플로레스 B동 508호,2023/06/24 ~ 2023/11/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189860_01.816.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008583,어린이/가족,X,줄거리 없음,작품설명 없음
페인터즈,명보아트홀,서울 중구 초동 18-5,2023/07/07 ~ 2023/12/31,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190424_01.354.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23009285,퍼포먼스,X,줄거리 없음,작품설명 없음
패밀리 매직쇼 - 화성,더퍼포머 씨어터,경기도 화성시 동탄대로 537(오산동) 라스플로레스 B동 508호,2023/07/27 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191149_01.655.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010169,어린이/가족,X,줄거리 없음,작품설명 없음
셰프,명보아트홀 가온홀,서울 중구 초동 18-5,2023/08/01 ~ 2023/12/31,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191356_01.040.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010427,퍼포먼스,X,줄거리 없음,작품설명 없음
뉴미디어뮤지컬 - 제주,노형수퍼마켙,해안동 2137-1,2023/08/22 ~ 2023/12/31,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192543_01.300.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011920,창작,X,줄거리 없음,작품설명 없음
빨간모자 - 청주,소극장 쇠내골,충북 청주시 상당구 석교동 257 2층 소극장 쇠내골,2018/01/26 ~ 2023/09/18,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/18/01/0400011801_120383_0202.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18000670,어린이/가족,X,"빨간 모자는 생일날, 사랑하는 아빠에게 빨간 모자를 선물로 받은 후로 빨간 모자라는 애칭으로 불리게 되었다. 하지만 지금은 아빠가 돌아가시고 엄마와 단둘이 살고 있다. 그러던 어느 날 할머니가 아프시다는 소식을 듣고 엄마의 심부름으로 할머니 댁에 빵을 가져다주기로 한다.

엄마는 “숲속에는 나쁜 늑대가 있으니 조심해,
그리고 가는 길에 누구를 만나든 아무나 마구 따라가면 안 돼”라는 당부를 한다.

빨간 모자는 무사히 할머니에게 빵을 가져다줄 수 있을까?","세계 명작동화 빨간 두건을 현실에 맞는 상황과 감성으로 재창작, 각색
연령에 상관없이 모두가 즐길 수 있는 연출로 함께 본 가족 간의 소통 소재 제공
객석에 무대 위에서 벌어진 일에 관해 물어보면서 관객의 참여와 소통을 이끎
공연 관람으로 낯선 사람을 마주했을 때의 범죄 예방수칙 습득 효과"
빌의 구둣방 - 청주,소극장 쇠내골,충북 청주시 상당구 석교동 257 2층 소극장 쇠내골,2021/03/20 ~ 2023/10/23,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/21/04/0400012104_164348_01.306.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21001949,뮤지컬,X,"19세기 후반 ~ 20세기 초. 2차 산업혁명이 진행되는 독일.
지역 시장 칼의 집에 세 들어 사는 구둣방 주인 빌.
신발 산업 생산이 시작되고 기성 구두의 유행이 시작되면서
수제화 시장에는 사람들의 발걸음이 끊기게 되고, 
제화공은 점점 사회의 배경으로 밀려나는 추이다.
결국엔 빌은 임대료를 지급하지 못하여 쫓겨날지도 모르는 상황에 처한다. 
아내에 대한 미안함과 앞으로의 막막함으로 괴로워하는 빌. 
그에겐 이제 구두를 만들 가죽조차 얼마 남지 않았다.
그러던 와중, 구둣방에 다리를 저는 여인 길버타가 찾아온다. 
그녀의 사연을 알게 된 빌은 남은 구두 가죽을 만지며 고뇌에 빠진다... ","수십 년 간 한 분야에 종사한 구두장인. 평생을 통해 최고가 된 구두장인 빌의 이야기!
선천적 장애를 지닌 길버타, 빌의 구둣방을 계기로 달라지는 그녀의 세상! 
더불어 살아가는 세상을 보여주는 뮤지컬!

무대 공간에  투사되는 영상으로  느낄 수 있는 신비롭고 초월적인 경험!
풍요로운 뮤지컬 넘버! 다양한 매력의 스케일을 지닌 음악과 노래들!
생각지도 못한 유머러스한 상황! 꿈과 꿈을 지지해주는 진심 어린 사랑까지!
교육적 효과, 마음의 감동을 두루 충족시켜줄 MUSICAL 빌의 구둣방!"
세례요한,북촌나래홀,서울특별시 종로구 원서동 174,2021/07/17 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/21/06/0400012106_166018_01.802.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21005251,창작,X,줄거리 없음,작품설명 없음
라면에 파송송,로즈아트홀 (구.노방극장),서울 노원구 월계동 68-25,2022/04/23 ~ 2024/01/27,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/04/0400012204_173988_01.746.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22004693,창작,X,줄거리 없음,작품설명 없음
아기돼지야 준비해 - 청주,소극장 쇠내골,충북 청주시 상당구 석교동 257 2층 소극장 쇠내골,2022/04/23 ~ 2023/10/10,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/04/0400012204_174075_01.804.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22004820,어린이/가족,X,"“늑대가 들어오지 못하게 미리미리 준비하는 거야!”

한 마을에 아주 귀여운 아기돼지 삼형제가 살고 있었어요
형제는 노래도 부르고 춤도 추며 평화로운 일상을 보내고 있었죠

그러던 어느 날 배고픈 늑대가 나타나서 이들의 평화로운 일상이 깨졌어요!

위기에 처한 아기돼지 삼형제는 각자 자신만의 방법으로 해결책을 찾아보는데…!","‘준비하는’ 아기돼지 VS ‘생각하는’ 늑대
늑대로부터 집을 지켜라!

원작 ‘아기돼지 삼형제’를 뮤지컬로! 개성 넘치는 삼형제가 보여주는 색다른 재미!
삼형제의 집 짓기를 함께 도우며 생활안전에 대해 알아가자! 참여하며 배우는 <생활안전교육> 뮤지컬!"
난타 - 명동,명동 난타 전용관,서울 중구 명동2가 50-14 유네스코빌딩 3층,2022/07/08 ~ 2023/12/31,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/05/0400012205_175240_01.026.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22006637,퍼포먼스,X,줄거리 없음,작품설명 없음
써니텐,대학로 하마씨어터,서울 종로구 대학로10길 15-11 4층,2022/07/08 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/06/0400012206_175832_01.859.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22007582,창작,X,줄거리 없음,작품설명 없음
마술그리스신화,송파브이아트홀,서울특별시 송파구 오금로 513 (거여동) 지하1층 브이아트홀,2022/07/13 ~ 2023/10/29,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/07/0400012207_176598_01.911.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22008545,어린이/가족,X,"1장 _ 불의화신 ‘헤파이스토스’와 미의여신 ‘아프로디테’

일밖에 모르는 대장장이 ‘헤파이스토스’
그는 모든지 만들 수 있는 만능 재주꾼 이지만 그의 단점은 외모!!!
그는 부인‘아프로디테’를 끔찍이 사랑하지만, 정작 ‘아프로디테’는
그와 함께 하고 싶어하지 않는다. 
그녀의 미모를 탐내는 위기에서 ‘헤파이스토스’는 그의 마법으로
어려움을 극복하게 되는데....

2장 _ 호기심 많은 판도라와 그의 연인 ‘에피메테우스’

‘제우스신’의 함정을 염려하는 예언의신 ‘프로메테우스’는 그의 동생
‘에피메테우스’에게 ‘제우스신’의 선물을 받지 말라고 조언한다.
하지만 ‘판도라’의 눈부신 미모에 반한 ‘에피메테우스’는 형과의
약속을 잊고 그녀와 함께 한다.
그녀와 행복한 날을 보내는 ‘에피메테우스’는 ‘판도라’와 함께
절대 열어봐서는 안되는 판도라의 상자를 열게 되는데....

3장 _ 질투의 여신 ‘헤라’와 힘의 상징 ‘헤라클라스’
‘헤라클라스’를 미워하는 ‘헤라여신’은 그에게 12개의 어려운 과업을
전달하만 용감하기 씩씩한 헤라클라스는 어려운 과업을 모두 풀게된다.
그를 미워하는 ‘헤라여신’은 헤라클라스에게 13번째 과업을 전달하게 되는데... ","‘그리스로마신화’ 이야기를 ‘마술’과 ‘노래’로 담았다
아이들 눈높이에 맞는 탄탄한 스토리
화려한 무대, 신나는 음악!!
유익함과 재미를 동시에 잡는 어린이공연 화제작!

대장장이 헤파이스토스, 판도라, 에피메테우스, 헤라여신, 아프로디테 등
그리스 로마신화 이야기의 캐릭터들이 출동하여 만드는 
재미과 감동의 환상적인 어린이 뮤지컬!

‘마술’과 ‘노래’를 듣고 있으면 그리스로마신화이야기가 머리에 쏙쏙~~
관객 모두와 함께 진행하는 헤라클라스 체험까지~~
상상 이상의 모든 것을 보여드리는
가족모두와 함께하는 환상적인 뮤지컬 <마술그리스신화>"
와일드 와일드,명보아트홀,서울 중구 초동 18-5,2022/09/16 ~ 2023/09/10,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/08/0400012208_177683_01.304.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22010119,창작,X,줄거리 없음,작품설명 없음
흥놀부뎐,홍해성 소극장,서울 종로구 동숭동 128-16,2023/08/15 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189997_01.602.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008757,어린이/가족,X,줄거리 없음,작품설명 없음
맘마미아 - 세종,세종예술의전당,세종특별자치시 국립박물관로 21 (나성동),2023/09/01 ~ 2023/09/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_190158_01.313.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008833,라이선스,X,줄거리 없음,"당신 인생의 가장 특별한 하루
뮤지컬 맘마미아!

Happy 19th Anniversary! In Korea
2004년 한국 초연 이후 19년간 공연!
서울을 포함 33개 지역에서 1,791회 공연, 2,099,893 관객이 선택!
대한민국이 사랑한 뮤지컬<맘마미아!>가 2023년 다시 파티를 시작한다!

2023 New, Brilliant Cast!
당신 인생의 가장 특별한 하루를 선물할 최고의 배우들
대체 불가 배우 - 최정원, 신영숙, 홍지민, 김영주, 박준면, 김정민, 이현우
250:1 치열한 경쟁률을 뚫고 새롭게 선발된 소피 - 김환희, 최태이
2023 맘마미아!에 신선한 활력을 불어넣을 새로운 멤버 - 장현성 (샘 역), 민영기 (해리 역), 김진수, 송일국 (빌 역), 김경선 (로지 역), 김시영 (스카이 역) 그리고 에너지 넘치는 20명의 앙상블!

World No1. Musical MAMMA MIA!
전 세계 50개 프로덕션, 450개 주요 도시, 16개 언어로 공연, 6,500만 명 이상 관람한 뮤지컬
뮤지컬 역사상 가장 빠르게 전 세계로 퍼진 뮤지컬
웨스트엔드 역사상 다섯 번째로 롱런 중인 뮤지컬 <맘마미아!>, 그 끝나지 않은 기록은 현재도 진행중!

It’s Time to Party!
Touching and Amazing Story
‘도나’의 우정과 사랑
딸 ‘소피’의 자아 찾기
그리고 엄마와 딸의 가슴 먹먹한 이야기
전 세대가 공감하는 재미와 감동!

ABBA’s Greatest Hits
‘댄싱퀸’ ’땡큐 포 더 뮤직’ ‘치키티타’ ‘허니허니’ 등 제목만 들어도 누구나 알 수 있는 세계적인 팝그룹 아바의 히트곡 22곡!

Beautiful Dream Island
잔잔한 물결이 넘실대는 아름다운 그리스 섬을 옮겨놓은 듯 감각적이고 세련된 무대
섬세하고 다채로운 빛의 향연! 그리고 아바의 전성기를 연상케 하는 화려한 무대의상!"
썸데이,업스테이지,서울특별시 종로구 동숭길 41 (동숭동),2023/09/01 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192003_01.327.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011284,창작,X,줄거리 없음,작품설명 없음
노량진 블루스,씨어터 쿰,서울특별시 종로구 명륜2가 8 어젤리아 명륜2,2023/09/01 ~ 2023/09/17,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192706_01.800.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23012096,창작,X,세상 구석으로 내몰려진 그들의 선택은?,공무원 준비생 24만 명. 청년 실업 사상 최대. 인구 절벽 현상이 바로 코앞에 닥친 현대사회를 살아가는 그저 평범한 우리 주변 청년들의 삶
썬더 프롬 다운 언더,예스24 라이브홀,서울특별시 광진구 광장동 319-33,2023/09/01 ~ 2023/09/02,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_190296_01.449.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23009105,오리지널,X,줄거리 없음,작품설명 없음
버스 너 뭐니!,SAC아트홀,서울특별시 강남구 삼성동 151-7 싹아트센터,2023/09/01 ~ 2023/09/02,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192288_01.937.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011602,창작,X,줄거리 없음,작품설명 없음
달래 - 부산,소극장 무대공감,부산 수영구 남천동 69-9,2023/09/01 ~ 2023/09/24,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191754_01.528.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010962,창작,X,줄거리 없음,작품설명 없음
라스트 세션,대학로 티오엠 1관,서울특별시 종로구 대학로8가길 85(동숭동 1-80),2023/07/08 ~ 2023/09/10,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188724_01.711.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23007040,연극,O,줄거리 없음,작품설명 없음
토카타,LG아트센터 서울 U+ 스테이지,서울특별시 강서구 마곡동 812 LG아트센터 서울,2023/08/19 ~ 2023/09/10,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190539_01.114.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=L0000044,연극,O,"한 여자…
유일하게 곁을 지키던 늙은 개를 떠나보낸, 늙은 여인은
마음 둘 곳이 없어 걷고 또 걷는다.
그러다 가끔 그녀는 하나뿐인 친구를 찾아간다.
자신을 어루만져주는 유일한 친구를.

한 남자…
바이러스에 감염되어 위중한 상태에 빠진, 중년의 남자는
인공호흡장치를 단 채 사경을 헤맨다.
어지러운 코마의 심연 속에서, 고독 속에서
그는 자신이 어루만졌던, 자신을 어루만졌던 손길을, 사랑하는 사람을,
그 기억들을 떠올린다.

명실상부 한국 연극계의 거장 손진책 연출
인간과 삶에 대한 통찰을 보여주는 독보적 위상의 극작가 배삼식의 극본
파격과 새로움으로 무에서 유를 창조하는 이태섭의 무대미술
심상을 빛으로 표현하는 빛의 연금술사 김창기의 조명
한국 패션의 선구자, 의상 디자이너 진태옥의 무대의상
장르를 넘나드는 극음악의 대가 작곡가 최우정의 음악 등,
한국 최고의 스태프들이 함께 이뤄낼 미학적 완성!","때론 강한 생명력을 지닌 어머니로,
때론 냉철한 지성과 욕망을 갖춘 여성으로,
한 평생을 한국 연극과 함께 했던 배우 손숙,

연극인생 60년,
다시 초심으로 돌아가 새로운 형식의 연극을 꿈꾸다!

Toccata is touch
촉각, 생명이 지닌 최초의 감각
피부, 존재의 경계
그 위에 새겨진 마주침과 기억들
외로운 살갗들이 들려주는 이야기"
테베랜드,충무아트센터 중극장 블랙,서울특별시 중구 흥인동 131번지,2023/06/28 ~ 2023/09/24,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188101_01.641.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23006433,연극,O,줄거리 없음,작품설명 없음
3일간의 비,이해랑 예술극장,서울특별시 중구 필동 3가 26번지,2023/07/25 ~ 2023/10/01,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188608_01.340.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23007658,연극,O,"“봐, 다시 시작됐어! 엄청 쏟아진다”.

워커는 미국의 유명 건축가 네드 제인웨이의 아들이다.
워커는 아버지 네드가 사망한 직후 돌연 자취를 감췄다가
어느 날 맨하튼의 작고 허름한 아버지의 아파트로 돌아온다.
이 아파트는 아버지 네드와 아버지의 친구 테오가 한때 살았던 곳이다.

워커와 그의 누이 낸은 아버지의 유산을 상속받기 위해
어린 시절부터 친구인 핍 (테오의 아들)과 함께 변호사를 찾아가 아버지 네드의 유언을 듣는다.
하지만 놀랍게도 네드는 그가 남긴 건축물 중에 가장 유명하고 값비싼
‘제인웨이 하우스’를 그의 자식들이 아닌, 테오의 아들 핍에게 물려준다.
유산 상속을 둘러싸고 워커와 핍은 갈등을 벌이고…

핍을 만나기 전 아파트에서 우연히 발견한
아버지 네드의 낡은 ‘일기장’에서 워커는 낸과 함께 마치 암호처럼 기록된 내용들을 해석하며 과거의 진실에 다가가려 노력한다.

1960년 4월 3일 - 5일, 삼일간 비

아버지 네드의 일기장 속 기록들은 과연 어떤 진실을 담고 있는 것일까… ","“나에게 3일간의 비가 내렸다.”

연극〈3일간의 비〉는 2003 토니상(Tony Awards) 수상자인
리차드 그린버그의 작품으로 하나의 공간, 다른 시대적 배경을 1막과 2막에 나눠
부모 세대와 자식 세대의 사건을 배우들이 1인 2역으로 표현한다.

6년 만에 돌아온 연극〈3일간의 비〉는 9인의 명품 캐스팅 라인업으로
이들이 보여줄 시너지에 대한 기대감을 증폭 시키며
새롭게 업그레이드된 무대 구현을 통해 빗소리 가득한 매력적인 공연을 보여줄 예정이다.

또한 연극 〈3일간의 비〉 만의 차별화된 독특하고 짙은 감성으로 관객들은 비에 젖어가듯 서서히 감정에 스며들며 깊고 진한 여운을 갖게 될 것이다. "
2시 22분,세종문화회관 M씨어터,서울시 종로구 세종로 81-3,2023/07/19 ~ 2023/09/02,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188548_01.711.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23006686,연극,O,줄거리 없음,"부부인 ‘샘’과 ‘제니’가 새로 이사와 한참 인테리어 중인 집.  
‘제니’는 매일 밤 같은 시간, 누군가 2층의 아이 침실을 돌아다니는 것 같은 이상한 소음을 듣고, ‘샘’은 제니가 신경 과민이라 생각한다. 
이들은 샘의 오랜 친구 ‘로렌’과 그녀의 새 남자친구 ‘벤’을 집에 초대하게 되고, 이들은 집에서 나는 수상한 소음에 관한 이야기를 나누게 된다. 
‘제니’는 이들을 납득시키기 위해 밤 2시 22분까지 깨어있게 하는데……"
2호선 세입자,바탕골 소극장,서울시 종로구 동숭동 1-60번지,2022/01/14 ~ 2023/10/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/21/12/0400012112_171268_01.421.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21013249,연극,O,줄거리 없음,작품설명 없음
