제목,장소,주소,기간,이미지URL,상세URL,세부장르,후기유무,이미지url,상세url,줄거리,작품설명
알사탕,서울숲 씨어터 1관,서울특별시 성동구 성수동1가 685-696,2021/09/18 ~ 2024/03/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/21/08/0400012108_167758_01.206.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21007832,어린이/가족,O,,,"장애를 잊고 자유롭고 평화롭게 살아가는 
‘돈 파블로 맹인학교’의 학생들···
그들 중 리더인 까를로스와 후아나는 
모두의 부러움을 사는 우등생 커플이다.
개학 첫날, 그들만의 완전한 세상에 
염세적이고 비관적인 태도의 ‘이그나시오’가 입학한다.
이후 이그나시오의 존재로 인해 
학생들은 조금씩 자신들의 장애를 인식하고 자신감을 잃어간다.
까를로스와 후아나는 이를 바로잡기 위해서 나서지만
학교는 점점 더 혼란에 빠지게 되는데…","전 세계 최초 뮤지컬화!
미겔 데 세르반테스 상, 국립문학상, 마리아 롤란드상 등 수많은 상을 수상한 스페인 희곡의 거장, 안토니오 부에로 바예호(Antonio Buero Vallejo) 첫 번째 희곡 ‘타오르는 어둠 속에서(In The Burning Darkness)가 세계 최초 뮤지컬로 재탄생하다!
 
각색과 연출 성종완, 작곡/음악감독 김은영
뮤지컬 <사의찬미>, <웨스턴 스토리>에 이어 또 한 번 기대되는 두 창작자의 시너지로 완성도 높은 창작 뮤지컬을 선보인다!"
빨래,유니플렉스 2관,서울 종로구 동숭동 1-94 유니플렉스,2023/02/09 ~ 2023/10/01,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/01/0400012301_183662_01.827.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23000548,창작,O,,,줄거리 없음,작품설명 없음
구텐버그,플러스씨어터 (구. 컬처스페이스 엔유),서울 종로구 동숭동 1-144,2023/08/02 ~ 2023/10/22,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189955_01.055.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008679,라이선스,O,,,줄거리 없음,작품설명 없음
댄싱피버,해당공연 공연장,주소:,2022/04/25 ~ 오픈런,,,창작,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/10/0400012210_180502_01.102.gif,후기탭 없음,줄거리 없음,"두 남자가 쓴 역사상 가장 위대’할’ 뮤지컬
뮤지컬 구텐버그

열정 넘치는 무명 뮤지컬 작가 “더그”와 작곡가 “버드“
드!디!어! 앤드류 로이드 웨버도, 카매론 매킨토시도 두려워할!
필생의 역작! 뮤지컬 <구텐버그>를 완성하고 말았다!
그들은 과연 유-우-명한 브로드웨이 프로듀서를 만날 수 있을까?

-

독특한 형식! 신선한 시도! 그리고 유쾌한 웃음까지!
2013년 국내 초연 이후 2014년 재연, 2016년 삼연까지 매 시즌마다 화제를 모으며
큰 사랑을 받았던 뮤지컬 <구텐버그>가
기발하고 유쾌한 모습으로 시원한 웃음을 선사할 새로운 프로덕션과
거침없는 연기 내공을 선보이며 넘치는 개성과 에너지로 무대를 가득 채울 새로운 캐스팅으로
6년여 만에 돌아왔다!

올여름, 기발하고 유쾌한 웃음으로 관객들을 사로잡을 새로운 <구텐버그>를 기대하라!"
오즈,대학로 티오엠 2관,서울특별시 종로구 대학로8가길 85(동숭동 1-80),2023/07/11 ~ 2023/09/17,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188703_01.230.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23007189,창작,O,,,"어린 시절 춤꾼들 사이에서는 알아주는 실력자로 인정받았던 태양은 확고한 스타일과 자신의 춤에 대한 고집 때문에 함께 하던 동료들과 멀어 지고 빠르게 바뀌는 춤의 흐름에서 동떨어지면서 지금은 생계를 위해 동네 댄스학원에서 수강생들에게 다이어트 댄스를 가르치고 있다. 어느 날, 함께 춤을 췄던 친구 루아가 태양을 찾아와 몸치를 댄서로 변화시키는 유튜브 콘텐츠를 기획하고 있다면서 태양에게 미미와 유연에게 춤을 가르쳐 댄서로 만들면 엄청난 
변화를 받아들이지 않아 최고의 자리에서 대중의 비난을 받으며 바닥으로 곤두박질 친 태양의 과거를 너무 잘 알고 있는 루아는 포기하지 않고 태양을 설득하고 루아의 진심 어린 위로와 조언에 용기를 얻은 태양은 스스로를 위해 도전 해보기로 하는데 태양은 과연 몸치에 박치인 미미와 유연을 댄서로 변화 시키고 다시 한 번 춤신춤왕으로 대중들 앞에 거듭날 수 있을까? 자신의 인생에서 가장 가치 있다고 생각하는 것을 위한 치열하고 짠내 나는 도전이 지금 바로 시작된다!","대한민국의 뒤덮은 댄스 열풍으로 TV나 공연에서도 댄서들의 인기가 하늘을 찌르고 사람들은 댄스 학원에 등록해 각가지 춤을 배우는 것이 유행인 시대의 흐름에 맞춰 춤생춤사 인생을 사는 주인공의 재기를 위한 갈등과 포용, 화합을 통해 우리는 과연 자신의 인생에서 가장 중요한 것을 위해 치열하게 싸워 보았는가 하는 메세지와 공감, 감동을 전달하고자 한다."
초콜릿 사탕,해당공연 공연장,주소:,2023/03/02 ~ 2023/12/31,,,뮤지컬,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188414_01.053.gif,후기탭 없음,"많은 일자리들이 인공지능으로 대체된 2045년.
사람 하나 없는 무인 VR기기 공장에서 유일한 인간 노동자로 일하는 준.

준의 유일한 낙인 가상현실 게임 <오즈>!
<오즈>에서 새로운 시즌 스토리모드가 시작되고,
접속하지 않는 자신의 유저를 기다리는 <오즈>의 AI 양철은
운 좋게 스토리모드 입장 티켓인 황금 나비를 잡게 되고
준은 양철에게 스토리모드를 함께하자고 제안하는데..

무과금 유저 준과 주인 없는 AI 양철.
둘은 스토리모드의 끝까지 도달해 원하는 소원을 이룰 수 있을까?","판타지 소설 ‘오즈의 마법사’를 모티브로 한 창작 뮤지컬 ‘오즈’
7월 11일 대학로 TOM 2관에서 개막!

판타지 소설 ‘오즈의 마법사’를 모티브로 창작된 뮤지컬 ‘오즈’는
가상현실 VR 게임인 ‘오즈’를 배경으로 펼쳐지는 인간과 VR 게임 세상의 캐릭터 AI의 우정과 그들의 여정을 그린 작품이다.

가상 현실인 VR과 현실 세계, 인간과 AI의 우정 등 다양한 키워드들을 통해 남녀노소,
그리고 현재와 미래를 살아가는 우리가 공감할 수 있는 메시지를 전하고자 한다.


강찬, 이승헌, 황두현, 송유택, 윤은오, 홍성원, 송상훈, 송효원, 정경훈, 임태현까지
준과 양철, 그리고 그들이 함께 하는 여정을 통해
따뜻한 위로와 응원을 전해줄 뮤지컬 ‘오즈’

VR기기 공장에서 일하는 유일한 인간이자 가상 현실 게임 ‘오즈’의 무과금 유저 ‘준’ 역의 강찬, 이승헌, 황두현
VR 게임 ‘오즈’ 속 인간의 마음을 찾길 꿈꾸는, 인간보다 더 인간 같은 AI ‘양철’ 역의 송유택, 윤은오, 홍성원
게임의 최상위 플레이어가 되기 위해 돈을 쓰는 현질을 아끼지 않는 ‘오즈’의 유저 ‘맥스 역의 송상훈, 송효원
‘맥스’의 AI이자 계산 능력과 게임 성능이 오즈 내에서 최고인 AI ‘버튼’역의 정경훈, 임태현"
투모로우 모닝,아트하우스 (구.대학로 디베이스),서울특별시 종로구 대학로10길 26 (동숭동),2023/08/12 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190756_01.347.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23009649,창작,O,,,"사랑에 대한 다섯 가지 이야기 <첫사랑, 짝사랑, 사랑과 우정, 프로포즈, 끝사랑> 초콜릿과 사탕이란 매개체를 통해 유쾌하고 감각적으로 그린 옴니버스 뮤지컬이다. 
사랑은 너무도 다채롭고, 광활하여 뭐라 단정 지을 수 없다. 누군가에게는 사랑이지만 누군가에게 아픔이기도 하다. [초콜릿 사탕]은 그런 사랑 이야기다. 사랑은 초콜릿처럼 향기롭고 부드러우며, 사탕처럼 촉촉하고 달콤하다. 사랑은 수 만 가지 옷을 입고 있어서 헷갈리게 하고, 종잡을 수 없게 하고, 행복하게도, 불행하게도 만든다. 또한 가장 위대한 힘을 주는 원천이기도 하다.
내 인생은 내세울 것 하나 없는 평범 그 자체였다. 평범하게 지나간 내 인생에서 가장 특별한 일이 무엇인지 물어온다면, “누군가를 만나 좋았고, 그와 사랑해서 행복했다. 그 사랑을 지키기 위해 살았고, 그로 인해 힘겨운 나날이지만 웃을 수 있었다. 지금도 난 그를 사랑하기에 편히 눈을 감을 수 있다.”라고 말하겠다.","사랑은 너무도 다채롭고, 너무도 광활하여 뭐라고 단정 지을 수 없다. 누군가에게는 사랑이지만 누군가에게 아픔이기도 하다. 그래서 사랑 얘기는 지극히 개인적인 감정일 수밖에 없다. [초콜릿 사탕]은 사랑 이야기다. 여기에서 사랑은 보이는 실체를 가지고 있다. 여자에게 있어서 사랑은 초콜릿이다. 남자에게 있어서 사랑은 사탕이다. 다양한 사람들에게 있어서 초콜릿과 사탕의 가치와 소중함을 재미있고 따뜻하며 감동적인 이야기로 무대화하고자 한다. "
라면에 파송송,로즈아트홀 (구.노방극장),서울 노원구 월계동 68-25,2022/04/23 ~ 2024/01/27,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/04/0400012204_173988_01.746.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22004693,창작,O,,,줄거리 없음,작품설명 없음
하트시그널,대학로 하마씨어터,서울 종로구 대학로10길 15-11 4층,2022/11/02 ~ 2023/11/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/10/0400012210_180569_01.846.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22014598,창작,O,,,줄거리 없음,작품설명 없음
오즈의 마법사,스타스테이지 (구 원패스아트홀),서울특별시 종로구 동숭동 1-54 지하 2층,2023/05/05 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/04/0400012304_187126_01.734.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23005218,어린이/가족,O,,,줄거리 없음,작품설명 없음
더퍼포머 키즈 매직쇼 - 청주,더퍼포머 씨어터,경기도 화성시 동탄대로 537(오산동) 라스플로레스 B동 508호,2023/06/24 ~ 2023/11/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189860_01.816.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008583,어린이/가족,O,,,줄거리 없음,작품설명 없음
패밀리 매직쇼 - 화성,더퍼포머 씨어터,경기도 화성시 동탄대로 537(오산동) 라스플로레스 B동 508호,2023/07/27 ~ 2023/09/30,,,어린이/가족,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191149_01.655.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010169,줄거리 없음,작품설명 없음
아리 아라리 - 정선,아리랑센터,강원도 정선군 정선읍 애산로 51,2023/04/02 ~ 2023/11/27,,,창작,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/04/0400012304_186925_01.348.gif,후기탭 없음,줄거리 없음,작품설명 없음
곤 투모로우,광림아트센터 BBCH홀,서울 강남구 신사동 568-2번지,2023/08/10 ~ 2023/10/22,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189881_01.920.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008578,창작,O,,,"조선시대, 경복궁 중수를 위해 강원도 정선의 우수한 소나무를 한양으로 보내라는 어명이 떨어진다. 최고의 나무꾼 ‘기목’은 사랑하는 아내 ‘정선’과 딸 ‘아리’를 뒤로 한 채, 뗏목을 몰고 한양으로 떠난다.
뛰어난 실력으로 돈을 많이 번 ‘기목’은 경복궁 완공 축하 잔치에서  예상치 못한 함정에 빠져 집에 갈 차비마저 빼앗기고 기억을 잃고 마는데....
한편, ‘기목’이 떠난 후 15년 동안 ‘기목’이 죽은 줄로 알고 제사를 지내던 가족은 장돌뱅이에게 ‘기목’이 살아있다는 소식을 듣게 되고, 숙녀가 된 ‘아리’는 당장 아버지를 찾으러 한양으로 떠나는데....","<아리 아라리>는 정선아리랑문화재단 사업의 일환이자 정선아리랑의 대중화와 세계화의 의지를 담은 공연으로써, 지역 브랜드의 가치를 높이고 관광객 유치에 일조한다. 공연 관람 후 지역 화폐 인 ‘정선아리랑상품권’으로 전액환급을 해주어, 지역 문화 활성화뿐 아니라 지역경제 활성화에도 큰 역할을 하고 있다. 
2018 평창 동계올림픽 기념공연 당시 국내외 1만 관객이 열광하고 2019년 서울 국립국 악원에서 개막한 4회차 공연도 전석 매진, 2020년 웰컴대학로 공연에서 공연기간 내 객석 점유율 80%라는 성과를 이루었으며, 2022년 국립중앙박물관 극장 용에서 기획 공연 진행, 
2023년엔 세계공연예술축제 중 하나인 2023 애들레이트 프린지 코리아시즌에 참가하여 위클리어워드 ???????? ?????????????? & ???????????????? ?????????????? ?????????? 수상하기도 하였다. "
마술그리스신화,대학로 열린극장,종로구 명륜2가 21-18 명륜빌딩 지하1층,2023/07/25 ~ 2023/10/09,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189944_01.158.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008668,어린이/가족,O,,,"1884년 조선, 밖으로는 서구열강과 청, 일본의 이권쟁탈이 가속화되고,
안으로는 혼란스러운 정세를 틈타 간신들이 활개치던 시기.
‘고종’은 젊은 개화파 지식인 ‘김옥균’에게 개혁의 의지를 위탁하여 혁명을 도모한다.
하지만 청군의 개입과 일본의 배신으로 갑신정변은 3일만에 막을 내리고,
‘김옥균’은 조선을 떠나 일본으로 망명한다.

한편, 족보를 팔아 불란서로 건너 간 ‘한정훈’은
고종의 부름에 조선으로 돌아오게 되고,
불란서 최초의 유학생 ‘홍종우’의 이름으로 ‘옥균’에게 접근, 암살할 것을 명 받는다.

그러나 본래 의도와는 다르게 옥균을 만난 후 정훈은 깊은 고뇌에 빠지게 되는데…","세 발의 총성, 사라진 내일, 갈 수 없는 나라
오늘을 살아가는 모두에게 건네는 불씨
뮤지컬 <곤 투모로우>

갑신정변이라는 근대적 개혁운동을 일으켰으나 3일 만에 실패하고
결국 암살당한 김옥균의 이야기를 모티브로 작가적 상상력을 더해 새롭게 재창조!

인물의 심리를 극적으로 표현한 음악과 격변기의 거대한 소용돌이를 표현한 무대
시대의 흐름과 인물의 감정을 극대화하며, 영화를 보는 듯한 미장센의 감각적인 조명과 영상,
절도 있고 감각적인 안무, 탄탄한 드라마와 섬세한 인물 표현,
시대와 나라를 초월하는 컨템포러리 형식의 세련된 연출!

시대를 초월하는 묵직한 울림으로 깊은 감동을 선사하며
관객들을 사로잡은 뮤지컬 <곤 투모로우> 세번째 시즌,
2023년 8월 10일 광림아트센터 BBCH홀 개막!
대극장 프로덕션으로 더욱 웅장해진 미장센과
초 재연 이상의 완성도 높은 무대로 다시 한 번 가슴 뜨거운 감동을 예고하다!

‘김옥균’ 역에 강필석, 최재웅, 고훈정, 조형균,
‘한정훈’ 역에 김재범, 신성민, 백형훈, 윤소호,
‘고종’ 역에 고영빈, 박영수, 김준수
‘이완’ 역에 김태한, 임별, ‘종윤’ 역에 김민철 등
초 재연을 빛낸 주역들과 몰입도를 배가시킬 실력파 배우들로 구성된 탄탄한 캐스팅!

시대를 초월한 희망의 메시지로 많은 관객들의 기다림을 받은
뮤지컬 <곤 투모로우>가 다시 돌아온다!"
사칠,대학로 드림아트센터 2관,서울 종로구 동숭동 1-42,2023/08/29 ~ 2023/11/05,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191078_01.753.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010047,창작,O,,,줄거리 없음,작품설명 없음
꿈꾸는 안데르센 - 수원,광교레이크아트홀,경기 수원시 영통구 원천동 589번지 광교중흥S클래스 내 밀라노 모모빌리지 키즈카페 옆 광교레이크아트홀,2023/08/19 ~ 2023/09/10,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190614_01.823.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23009506,어린이/가족,O,,,줄거리 없음,작품설명 없음
이토록 보통의,예스24스테이지 3관,서울 종로구 동숭동 1-52,2023/08/29 ~ 2023/11/12,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190705_01.230.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23009608,창작,O,,,줄거리 없음,작품설명 없음
동화책콘서트 - 대전,아트그라운드 플래닌,대전광역시 서구 대덕대로162번길 51,2023/08/10 ~ 2023/09/24,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190715_01.447.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23009619,어린이/가족,O,,,줄거리 없음,작품설명 없음
